edges
24914992 171826985#2 -534588621#1 -534588621#0 606078071#0 606078071#2
24914992 171826985#2 24913519#1 24913519#2 541763975 202156995#0 202156995#1 4067932#0 4067932#1 541763974 61584187#0 61584187#1 15971197 4611699#0 4611699#1 169195795#0 169195795#1 169195795#4 169195795#5 169195795#6 169195795#7 1113726463 1077923225#0 882389494 340498988#0
461526152#0 1079495669#0 1079495669#2 340498982#0 340498982#1 340498982#4 340498982#5 251884680#0 251884680#1 251884680#2 339201217 54048862#1 54048862#3 831694400 23013165#1 23013165#2 202156994#0 72157174#1 171826984#2
24914992 171826985#2 -534588621#1 -534588621#0 606078071#0 606078071#2
61583424#0 61583424#1 534588621#0 534588621#1 72157174#1 171826984#2
150394035#0 150394035#1 150394035#5 150394035#6 1052827282#2 1052827282#4 10597134#1 421641064
150394035#0 150394035#1 150394035#5 150394035#6 1052827282#2 1052827282#4 10597134#1 421641064
803941122 23960874#1 23960874#4 144014234#1 144014234#4 167523653#0 167523653#1 167523653#2
803941122 23960874#1 23960874#4 144014234#1 144014234#4 167523653#0 167523653#1 167523653#2
150394035#0 150394035#1 150394035#5 150394035#6 1052827282#2 1052827282#4 10597134#1 421641064 30721657#1
101699676#0 101699676#1 30721656#1 30721656#2 30721656#3 30721656#4 421641065#0 421641065#1 1053166657 30123145#1 30123145#2 803941122 23960874#1 23960874#4 144014234#1 144014234#4 167523653#0 167523653#1 167523653#2
-22820560#2 93584121#1 144014237#1 144014237#2 144014228#0 144014228#1 144014228#2
144014228#2 207364192#1 207364192#2 207364192#3 207364192#4 207364192#5 168254756#1 167272512#0 167272512#2 167272512#3 167272512#5 167272512#6 167272512#7 167272512#8 167272512#9
32590649 25946685#1 25946685#2
4471819 4471818#1 25946681 4471817#1
32590649 25946685#1 25946685#2
4471819 4471818#1 25946681 4471817#1
144014230#3 207364191#1 144014242#1 167272512#0 167272512#2 167272512#3 167272512#5 167272512#6 167272512#7 167272512#8 167272512#9 101699676#0 101699676#1 30721656#1 30721656#2 30721656#3 30721656#4 421641065#0 421641065#1 28341062 421641064 30721657#1
144014230#3 207364191#1 144014242#1 167272512#0 167272512#2 167272512#3 167272512#5 167272512#6 167272512#7 167272512#8 167272512#9 101699676#0 101699676#1 30721656#1 30721656#2 30721656#3 30721656#4 421641065#0 421641065#1 28341062 421641064 30721657#1
-22820560#2 93584121#1 144014237#1 144014237#2 144014233#0 144014233#2 144014233#3 144014233#5 144014230#0 144014230#1 144014230#2 144014230#3
-22820560#2 93584121#1 144014237#1 144014237#2 144014233#0 144014233#2 144014233#3 144014233#5 144014230#0 144014230#1 144014230#2 144014230#3
150394035#0 150394035#1 150394035#5 150394035#6 1052827282#2 1052827282#4 10597134#1 421641064
803941122 23960874#1 23960874#4 144014234#1 144014234#4 167523653#0 167523653#1 167523653#2
24914992 171826985#2 -534588621#1 -534588621#0 606078071#0 606078071#2
24914992 171826985#2 -534588621#1 -534588621#0 606078071#0 606078071#2
24914992 171826985#2 24913519#1 24913519#2 541763975 202156995#0 202156995#1 4067932#0 4067932#1 541763974 61584187#0 61584187#1 15971197 4611699#0 4611699#1 169195795#0 169195795#1 169195795#4 169195795#5 169195795#6 169195795#7 1113726463 1077923225#0 882389494 340498988#0
461526152#0 1079495669#0 1079495669#2 340498982#0 340498982#1 340498982#4 340498982#5 251884680#0 251884680#1 251884680#2 339201217 54048862#1 54048862#3 831694400 23013165#1 23013165#2 202156994#0 72157174#1 171826984#2
942849696 942849695 248099628
942849698 942849697 71326270
32590649 25946685#1 25946685#2
4471819 4471818#1 25946681 4471817#1
32590649 25946685#1 25946685#2
4471819 4471818#1 25946681 4471817#1
24914992 171826985#2 -534588621#1 -534588621#0 606078071#0 606078071#2
61583424#0 61583424#1 534588621#0 534588621#1 72157174#1 171826984#2
61583424#0 61583424#1 534588621#0 534588621#1 72157174#1 171826984#2
24914992 171826985#2 -534588621#1 -534588621#0 606078071#0 606078071#2
61583424#0 61583424#1 534588621#0 534588621#1 72157174#1 171826984#2
150394035#0 150394035#1 150394035#5 150394035#6 1052827282#2 1052827282#4 10597134#1 421641064
803941122 23960874#1 23960874#4 144014234#1 144014234#4 167523653#0 167523653#1 167523653#2
743631784 370359204#0 370359204#1 370359204#2 77348147 156364570#0 156364570#1 156364570#2 156364556#1 202157002#1 -534588621#1 -534588621#0 606078071#0 606078071#2
61583424#0 61583424#1 534588621#0 534588621#1 4773465#1 4773465#2 490365295#0 -156364570#3 -156364570#1 -156364570#0 -77348147 -387892378 -370359204#1 -370359204#0 -743631784
61583424#0 61583424#1 534588621#0 534588621#1 24913519#1 24913519#2 541763975 202156995#0 202156995#1 4067932#0 4067932#1 541763974 61584187#0 61584187#1 15971197 4611699#0 4611699#1 169195795#0 169195795#1 169195795#4 169195795#5 169195795#6 169195795#7 1113726463 1077923225#0 882389494 340498988#0
461526152#0 1079495669#0 1079495669#2 340498982#0 340498982#1 340498982#4 340498982#5 251884680#0 251884680#1 251884680#2 339201217 54048862#1 54048862#3 831694400 23013165#1 23013165#2 202156994#0 -534588621#1 -534588621#0 606078071#0 606078071#2
